run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8389,small_world,inv_degree,8464543,100,300,0.03,3,0.45,0.1,50,0.09,4,0.6950000000000002,0.24000000000000035,0.03500000000000005,0.0
8390,small_world,inv_degree,8465552,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8550000000000002,0.4150000000000003,0.05500000000000003,0.0
8391,small_world,inv_degree,8466561,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7999999999999998,0.41000000000000014,0.07000000000000003,0.0
8392,small_world,inv_degree,8467570,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7500000000000001,0.37500000000000033,0.12500000000000022,0.0
8393,small_world,inv_degree,8468579,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7166666666666666,0.26666666666666655,0.02333333333333332,0.0
8394,small_world,inv_degree,8469588,100,300,0.03,3,0.45,0.1,50,0.03,0,0.81,0.4950000000000003,0.1800000000000003,0.0
8395,small_world,inv_degree,8470597,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7433333333333331,0.3466666666666666,0.11333333333333334,0.0
8396,small_world,inv_degree,8471606,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7499999999999999,0.43666666666666637,0.10666666666666658,0.0
8397,small_world,inv_degree,8472615,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7449999999999994,0.45499999999999907,0.1899999999999997,0.0
8398,small_world,inv_degree,8473624,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7649999999999998,0.4049999999999996,0.039999999999999994,0.0
8399,small_world,inv_degree,8474633,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7749999999999997,0.4649999999999994,0.1199999999999999,0.0
8400,small_world,inv_degree,8475642,100,300,0.03,3,0.45,0.1,50,0.11,6,0.7200000000000002,0.3400000000000005,0.08000000000000015,0.0
8401,small_world,inv_degree,8476651,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8499999999999998,0.6499999999999998,0.3199999999999998,0.0
8402,small_world,inv_degree,8477660,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7800000000000006,0.5700000000000005,0.3300000000000003,0.0
8403,small_world,inv_degree,8478669,100,300,0.03,3,0.45,0.1,50,0.15,11,0.6833333333333331,0.32666666666666666,0.07333333333333338,0.0
8404,small_world,inv_degree,8479678,100,300,0.03,3,0.45,0.1,50,0.06,2,0.8500000000000002,0.4550000000000003,0.020000000000000042,0.0
8405,small_world,inv_degree,8480687,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7600000000000001,0.3300000000000003,0.08000000000000006,0.0
8406,small_world,inv_degree,8481696,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7900000000000001,0.42500000000000043,0.13500000000000023,0.0
8407,small_world,inv_degree,8482705,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8050000000000002,0.4550000000000004,0.20500000000000035,0.0
8408,small_world,inv_degree,8483714,100,300,0.03,3,0.45,0.1,50,0.03,0,0.803333333333333,0.5433333333333331,0.1799999999999999,0.0
8409,small_world,inv_degree,8484723,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8150000000000002,0.5600000000000003,0.18500000000000014,0.0
8410,small_world,inv_degree,8485732,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7950000000000002,0.6050000000000002,0.3650000000000004,0.0
8411,small_world,inv_degree,8486741,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8150000000000002,0.45000000000000034,0.09000000000000011,0.0
8412,small_world,inv_degree,8487750,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7600000000000002,0.4800000000000004,0.15500000000000028,0.0
8413,small_world,inv_degree,8488759,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7850000000000001,0.4900000000000004,0.16500000000000023,0.0
8414,small_world,inv_degree,8489768,100,300,0.03,3,0.45,0.1,50,0.05,2,0.7599999999999999,0.39500000000000024,0.050000000000000044,0.0
8415,small_world,inv_degree,8490777,100,300,0.03,3,0.45,0.1,50,0.03,0,0.76,0.40500000000000036,0.07000000000000009,0.0
8416,small_world,inv_degree,8491786,100,300,0.03,3,0.45,0.1,50,0.05,2,0.7266666666666666,0.37333333333333324,0.09333333333333334,0.0
8417,small_world,inv_degree,8492795,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7666666666666665,0.3433333333333334,0.023333333333333338,0.0
8418,small_world,inv_degree,8493804,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7174999999999999,0.34249999999999964,0.024999999999999956,0.0
8419,small_world,inv_degree,8494813,100,300,0.03,3,0.45,0.1,50,0.1,5,0.7850000000000001,0.43500000000000033,0.13500000000000015,0.0
8420,small_world,inv_degree,8495822,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7450000000000002,0.34000000000000036,0.15500000000000022,0.0
8421,small_world,inv_degree,8496831,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7500000000000001,0.3900000000000002,0.049999999999999996,0.0
8422,small_world,inv_degree,8497840,100,300,0.03,3,0.45,0.1,50,0.03,0,0.775,0.5300000000000001,0.15000000000000013,0.0
8423,small_world,inv_degree,8498849,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7749999999999997,0.5399999999999994,0.18999999999999984,0.0
8424,small_world,inv_degree,8499858,100,300,0.03,3,0.45,0.1,50,0.03,0,0.765,0.46000000000000024,0.08499999999999998,0.0
8425,small_world,inv_degree,8500867,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7466666666666667,0.3766666666666668,0.06333333333333335,0.0
8426,small_world,inv_degree,8501876,100,300,0.03,3,0.45,0.1,50,0.14,8,0.6700000000000005,0.33000000000000007,0.09000000000000007,0.0
8427,small_world,inv_degree,8502885,100,300,0.03,3,0.45,0.1,50,0.1,4,0.8499999999999998,0.5999999999999999,0.22999999999999984,0.0
8428,small_world,inv_degree,8503894,100,300,0.03,3,0.45,0.1,50,0.03,0,0.755,0.3900000000000003,0.07000000000000008,0.0
8429,small_world,inv_degree,8504903,100,300,0.03,3,0.45,0.1,50,0.03,0,0.765,0.4050000000000004,0.0650000000000001,0.0
8430,small_world,inv_degree,8505912,100,300,0.03,3,0.45,0.1,50,0.12,7,0.7650000000000001,0.3050000000000003,0.07500000000000008,0.0
