run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
254,random,uniform,256328,100,258,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7377306952739155
255,random,uniform,257337,100,254,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7818041370617321
256,random,uniform,258346,100,241,0.03,3,0.45,0.1,50,1.5,0.08,2,0.753667918081015
257,random,uniform,259355,100,246,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8336598268325135
258,random,uniform,260364,100,235,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7247381424412628
259,random,uniform,261373,100,225,0.03,3,0.45,0.1,50,1.5,0.1,3,0.7069003352417187
260,random,uniform,262382,100,260,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7533924198727924
261,random,uniform,263391,100,271,0.03,3,0.45,0.1,50,1.5,0.04,1,0.7940926857635597
262,random,uniform,264400,100,244,0.03,3,0.45,0.1,50,1.5,0.06,2,0.758215667159311
263,random,uniform,265409,100,233,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7910767807652911
264,random,uniform,266418,100,250,0.03,3,0.45,0.1,50,1.5,0.05,1,0.804741939315022
265,random,uniform,267427,100,192,0.03,3,0.45,0.1,50,1.5,0.08,1,0.767719632318344
266,random,uniform,268436,100,265,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8048265062292174
267,random,uniform,269445,100,227,0.03,3,0.45,0.1,50,1.5,0.04,1,0.822189812073542
268,random,uniform,270454,100,259,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7697911736337801
269,random,uniform,271463,100,282,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7776711357718159
270,random,uniform,272472,100,242,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8114091755312746
271,random,uniform,273481,100,245,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8039035392593221
272,random,uniform,274490,100,234,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7781073770827102
273,random,uniform,275499,100,217,0.03,3,0.45,0.1,50,1.5,0.04,1,0.833157754811906
274,random,uniform,276508,100,264,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7653029774626521
275,random,uniform,277517,100,256,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7887189625583075
276,random,uniform,278526,100,266,0.03,3,0.45,0.1,50,1.5,0.04,1,0.7965655921878614
277,random,uniform,279535,100,243,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7167467049058424
278,random,uniform,280544,100,237,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7419258738211606
